anio,tipo_precio,unidad_medida,categoria_detalle,valor_millones_pesos
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alojamiento para visitantes|Alojamiento en propiedad de casas de vacaciones,5952.425
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alojamiento para visitantes|Alojamiento en casa de familiares y amigos (imputación),21883.359
1994,corrientes,Millones de pesos a precios corrientes,"Total del país|Total turístico|Servicios|Restaurantes, bares y centros nocturnos<C1>",51513.207
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios,53100.832
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Comercio turístico,24751.085
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Transporte local,3558.122
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Servicios de información,364.286
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Servicios financieros,568.099
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Servicios inmobiliarios y de alquiler,4410.595
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Servicios profesionales,86.689
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Servicios de salud,4722.195
1994,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Productos no destinados al consumo y otros,14639.761
1995,corrientes,Millones de pesos a precios corrientes,Total del país,2347339.368
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico,233374.231
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Bienes,34275.36
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Bienes|Artesanías,13574.147
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Bienes|Otros bienes,20701.213
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios,199098.871
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de transporte aéreo de pasajeros,2597.189
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de transporte de pasajeros por ferrocarril,272.196
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de transporte de pasajeros por agua,958.007
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de transporte de pasajeros por carretera,23586.173
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios relacionados con el transporte,2437.176
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alquiler de equipos de transporte,323.138
